ds,y
2012-04-01,107.7
2012-05-01,109.3
2012-06-01,107.0
2012-07-01,113.9
2012-08-01,120.7
2012-09-01,121.7
2012-10-01,114.8
2012-11-01,120.4
2012-12-01,127.7
2013-01-01,131.6
2013-02-01,132.7
2013-03-01,132.5
2013-04-01,136.4
2013-05-01,137.6
2013-06-01,136.9
2013-07-01,135.3
2013-08-01,131.0
2013-09-01,130.9
2013-10-01,129.7
2013-11-01,129.5
2013-12-01,131.1
2014-01-01,132.3
2014-02-01,131.5
2014-03-01,133.6
2014-04-01,134.4
2014-05-01,134.6
2014-06-01,132.5
2014-07-01,134.4
2014-08-01,133.2
2014-09-01,133.9
2014-10-01,129.3
2014-11-01,125.6
2014-12-01,123.9
2015-01-01,125.0
2015-02-01,123.2
2015-03-01,124.8
2015-04-01,127.3
2015-05-01,126.7
2015-06-01,125.2
2015-07-01,124.3
2015-08-01,127.4
2015-09-01,132.2
2015-10-01,132.7
2015-11-01,135.3
2015-12-01,139.2
2016-01-01,142.9
2016-02-01,144.2
2016-03-01,147.7
2016-04-01,155.8
2016-05-01,162.6
2016-06-01,158.7
2016-07-01,159.6
2016-08-01,159.3
2016-09-01,155.1
2016-10-01,148.1
2016-11-01,151.0
2016-12-01,154.7
2017-01-01,151.9
2017-02-01,151.3
2017-03-01,152.6
2017-04-01,153.8
2017-05-01,153.2
2017-06-01,149.7
2017-07-01,145.4
2017-08-01,143.8
2017-09-01,139.4
2017-10-01,132.9
2017-11-01,130.2
2017-12-01,133.9
2018-01-01,131.7
2018-02-01,127.9
2018-03-01,126.8
2018-04-01,127.0
2018-05-01,128.1
2018-06-01,129.5
2018-07-01,132.9
2018-08-01,138.2
2018-09-01,141.7
2018-10-01,148.6
2018-11-01,161.7
2018-12-01,165.1
2019-01-01,171.2
2019-02-01,178.3
2019-03-01,182.0
2019-04-01,188.0
2019-05-01,194.7
2019-06-01,195.3
2019-07-01,199.6
2019-08-01,200.4
2019-09-01,195.9
2019-10-01,184.9
2019-11-01,188.4
2019-12-01,194.7
2020-01-01,201.6
2020-02-01,193.7
2020-03-01,187.5
2020-04-01,188.9
2020-05-01,185.0
2020-06-01,176.1
2020-07-01,167.3
2020-08-01,161.1
2020-09-01,155.7
2020-10-01,155.4
2020-11-01,154.2
2020-12-01,150.0
2021-01-01,148.3
2021-02-01,145.7
2021-03-01,146.9
2021-04-01,146.6
2021-05-01,149.1
2021-06-01,150.1
2021-07-01,153.9
2021-08-01,161.1
2021-09-01,166.4
2021-10-01,164.8
2021-11-01,172.6
2021-12-01,183.4
2022-01-01,183.2
2022-02-01,187.7
2022-03-01,196.4
2022-04-01,205.4
2022-05-01,209.3
2022-06-01,207.0
2022-07-01,208.0
2022-08-01,214.3
2022-09-01,212.8
2022-10-01,201.5
2022-11-01,209.7
2022-12-01,219.2
2023-01-01,224.1
2023-02-01,219.6
2023-03-01,225.1
2023-04-01,229.6
2023-05-01,229.4
2023-06-01,226.7
2023-07-01,226.9
2023-08-01,225.9
2023-09-01,225.7
2023-10-01,231.5
