ds,y
2012-04-01,119.1
2012-05-01,0.0
2012-06-01,0.0
2012-07-01,0.0
2012-08-01,0.0
2012-09-01,134.6
2012-10-01,129.4
2012-11-01,101.7
2012-12-01,92.6
2013-01-01,103.1
2013-02-01,99.6
2013-03-01,103.6
2013-04-01,109.0
2013-05-01,0.0
2013-06-01,0.0
2013-07-01,0.0
2013-08-01,0.0
2013-09-01,146.4
2013-10-01,162.9
2013-11-01,178.3
2013-12-01,119.0
2014-01-01,99.6
2014-02-01,91.7
2014-03-01,97.9
2014-04-01,105.8
2014-05-01,0.0
2014-06-01,0.0
2014-07-01,0.0
2014-08-01,0.0
2014-09-01,162.0
2014-10-01,148.3
2014-11-01,129.7
2014-12-01,119.7
2015-01-01,110.7
2015-02-01,102.0
2015-03-01,102.7
2015-04-01,101.6
2015-05-01,0.0
2015-06-01,0.0
2015-07-01,0.0
2015-08-01,0.0
2015-09-01,123.6
2015-10-01,121.0
2015-11-01,122.0
2015-12-01,126.1
2016-01-01,111.9
2016-02-01,93.5
2016-03-01,87.5
2016-04-01,90.4
2016-05-01,0.0
2016-06-01,0.0
2016-07-01,0.0
2016-08-01,0.0
2016-09-01,154.1
2016-10-01,171.3
2016-11-01,145.4
2016-12-01,110.4
2017-01-01,88.0
2017-02-01,80.8
2017-03-01,104.8
2017-04-01,115.2
2017-05-01,0.0
2017-06-01,0.0
2017-07-01,0.0
2017-08-01,0.0
2017-09-01,118.8
2017-10-01,142.2
2017-11-01,141.5
2017-12-01,106.2
2018-01-01,92.0
2018-02-01,76.6
2018-03-01,68.5
2018-04-01,80.8
2018-05-01,0.0
2018-06-01,0.0
2018-07-01,0.0
2018-08-01,0.0
2018-09-01,174.9
2018-10-01,178.5
2018-11-01,161.0
2018-12-01,132.3
2019-01-01,130.5
2019-02-01,114.0
2019-03-01,149.2
2019-04-01,178.9
2019-05-01,0.0
2019-06-01,0.0
2019-07-01,0.0
2019-08-01,0.0
2019-09-01,191.1
2019-10-01,227.7
2019-11-01,246.1
2019-12-01,196.6
2020-01-01,198.3
2020-02-01,154.7
2020-03-01,142.9
2020-04-01,160.7
2020-05-01,0.0
2020-06-01,0.0
2020-07-01,0.0
2020-08-01,0.0
2020-09-01,226.4
2020-10-01,239.6
2020-11-01,215.1
2020-12-01,162.2
2021-01-01,141.1
2021-02-01,137.3
2021-03-01,139.1
2021-04-01,159.7
2021-05-01,0.0
2021-06-01,0.0
2021-07-01,0.0
2021-08-01,0.0
2021-09-01,231.2
2021-10-01,250.1
2021-11-01,293.1
2021-12-01,282.0
2022-01-01,245.7
2022-02-01,208.7
2022-03-01,184.5
2022-04-01,209.2
2022-05-01,0.0
2022-06-01,0.0
2022-07-01,0.0
2022-08-01,0.0
2022-09-01,291.7
2022-10-01,329.0
2022-11-01,234.2
2022-12-01,164.3
2023-01-01,161.1
2023-02-01,148.4
2023-03-01,163.5
2023-04-01,176.9
2023-05-01,0.0
2023-06-01,0.0
2023-07-01,0.0
2023-08-01,0.0
2023-09-01,230.3
2023-10-01,244.6
