ds,y
2012-04-01,102.5
2012-05-01,107.4
2012-06-01,109.7
2012-07-01,115.2
2012-08-01,119.2
2012-09-01,119.0
2012-10-01,118.6
2012-11-01,118.1
2012-12-01,117.4
2013-01-01,119.8
2013-02-01,120.1
2013-03-01,119.5
2013-04-01,126.1
2013-05-01,127.1
2013-06-01,130.6
2013-07-01,131.5
2013-08-01,132.2
2013-09-01,132.7
2013-10-01,130.9
2013-11-01,134.1
2013-12-01,135.6
2014-01-01,136.4
2014-02-01,136.6
2014-03-01,140.8
2014-04-01,143.3
2014-05-01,145.5
2014-06-01,146.2
2014-07-01,147.9
2014-08-01,150.2
2014-09-01,152.6
2014-10-01,152.1
2014-11-01,153.9
2014-12-01,157.5
2015-01-01,166.8
2015-02-01,166.2
2015-03-01,164.9
2015-04-01,165.1
2015-05-01,177.0
2015-06-01,186.3
2015-07-01,188.4
2015-08-01,195.6
2015-09-01,195.1
2015-10-01,197.0
2015-11-01,198.8
2015-12-01,195.5
2016-01-01,190.5
2016-02-01,184.0
2016-03-01,182.3
2016-04-01,186.8
2016-05-01,190.2
2016-06-01,191.0
2016-07-01,190.7
2016-08-01,185.6
2016-09-01,182.0
2016-10-01,179.2
2016-11-01,176.8
2016-12-01,169.6
2017-01-01,161.1
2017-02-01,156.2
2017-03-01,154.0
2017-04-01,155.3
2017-05-01,148.5
2017-06-01,144.5
2017-07-01,137.5
2017-08-01,136.0
2017-09-01,138.3
2017-10-01,133.8
2017-11-01,130.9
2017-12-01,130.3
2018-01-01,126.7
2018-02-01,122.1
2018-03-01,120.6
2018-04-01,120.8
2018-05-01,120.7
2018-06-01,117.8
2018-07-01,117.9
2018-08-01,121.0
2018-09-01,121.8
2018-10-01,121.7
2018-11-01,121.2
2018-12-01,124.6
2019-01-01,127.5
2019-02-01,129.5
2019-03-01,130.1
2019-04-01,131.8
2019-05-01,134.9
2019-06-01,137.1
2019-07-01,137.5
2019-08-01,137.3
2019-09-01,137.3
2019-10-01,137.0
2019-11-01,140.5
2019-12-01,143.2
2020-01-01,147.9
2020-02-01,147.1
2020-03-01,146.0
2020-04-01,149.7
2020-05-01,150.8
2020-06-01,155.1
2020-07-01,157.5
2020-08-01,158.0
2020-09-01,159.0
2020-10-01,162.8
2020-11-01,166.3
2020-12-01,163.8
2021-01-01,165.4
2021-02-01,166.3
2021-03-01,168.4
2021-04-01,171.9
2021-05-01,176.1
2021-06-01,179.6
2021-07-01,179.9
2021-08-01,184.0
2021-09-01,197.3
2021-10-01,203.3
2021-11-01,203.4
2021-12-01,201.7
2022-01-01,202.9
2022-02-01,204.9
2022-03-01,205.5
2022-04-01,202.8
2022-05-01,202.5
2022-06-01,200.6
2022-07-01,202.1
2022-08-01,204.4
2022-09-01,199.7
2022-10-01,199.8
2022-11-01,202.1
2022-12-01,199.8
2023-01-01,199.0
2023-02-01,196.3
2023-03-01,194.6
2023-04-01,192.1
2023-05-01,188.1
2023-06-01,187.7
2023-07-01,186.6
2023-08-01,186.9
2023-09-01,192.6
2023-10-01,189.5
