ds,y
2012-04-01,96.3
2012-05-01,96.0
2012-06-01,96.6
2012-07-01,103.6
2012-08-01,108.7
2012-09-01,108.4
2012-10-01,112.2
2012-11-01,113.5
2012-12-01,115.4
2013-01-01,116.9
2013-02-01,117.1
2013-03-01,118.3
2013-04-01,120.0
2013-05-01,118.9
2013-06-01,119.0
2013-07-01,118.0
2013-08-01,113.9
2013-09-01,117.5
2013-10-01,122.9
2013-11-01,126.4
2013-12-01,126.7
2014-01-01,126.5
2014-02-01,129.3
2014-03-01,132.6
2014-04-01,135.5
2014-05-01,137.8
2014-06-01,136.8
2014-07-01,142.5
2014-08-01,142.2
2014-09-01,141.2
2014-10-01,144.6
2014-11-01,148.5
2014-12-01,153.9
2015-01-01,159.1
2015-02-01,155.7
2015-03-01,150.7
2015-04-01,151.4
2015-05-01,155.7
2015-06-01,170.2
2015-07-01,165.3
2015-08-01,164.8
2015-09-01,167.5
2015-10-01,173.5
2015-11-01,178.1
2015-12-01,168.8
2016-01-01,167.1
2016-02-01,161.0
2016-03-01,158.7
2016-04-01,162.2
2016-05-01,161.9
2016-06-01,155.4
2016-07-01,150.4
2016-08-01,143.5
2016-09-01,134.7
2016-10-01,131.6
2016-11-01,127.4
2016-12-01,122.7
2017-01-01,119.7
2017-02-01,116.9
2017-03-01,115.4
2017-04-01,120.8
2017-05-01,120.1
2017-06-01,116.8
2017-07-01,113.0
2017-08-01,112.6
2017-09-01,112.9
2017-10-01,111.5
2017-11-01,109.8
2017-12-01,110.7
2018-01-01,112.2
2018-02-01,113.0
2018-03-01,114.1
2018-04-01,111.5
2018-05-01,113.0
2018-06-01,112.4
2018-07-01,115.0
2018-08-01,118.9
2018-09-01,119.8
2018-10-01,118.1
2018-11-01,121.6
2018-12-01,123.0
2019-01-01,125.8
2019-02-01,128.2
2019-03-01,127.8
2019-04-01,128.2
2019-05-01,130.9
2019-06-01,135.6
2019-07-01,137.1
2019-08-01,137.2
2019-09-01,138.7
2019-10-01,139.7
2019-11-01,146.7
2019-12-01,149.6
2020-01-01,151.3
2020-02-01,156.6
2020-03-01,162.0
2020-04-01,174.2
2020-05-01,179.7
2020-06-01,176.1
2020-07-01,173.6
2020-08-01,170.4
2020-09-01,164.3
2020-10-01,162.6
2020-11-01,165.1
2020-12-01,168.5
2021-01-01,166.7
2021-02-01,169.7
2021-03-01,169.2
2021-04-01,169.7
2021-05-01,169.6
2021-06-01,167.4
2021-07-01,163.5
2021-08-01,162.5
2021-09-01,164.9
2021-10-01,166.3
2021-11-01,164.7
2021-12-01,165.1
2022-01-01,164.1
2022-02-01,166.1
2022-03-01,168.8
2022-04-01,167.7
2022-05-01,166.3
2022-06-01,165.1
2022-07-01,166.2
2022-08-01,167.6
2022-09-01,166.2
2022-10-01,166.2
2022-11-01,165.7
2022-12-01,168.2
2023-01-01,167.7
2023-02-01,167.8
2023-03-01,172.8
2023-04-01,180.8
2023-05-01,178.6
2023-06-01,184.8
2023-07-01,188.7
2023-08-01,189.4
2023-09-01,199.7
2023-10-01,205.6
